id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
104538,159711,22281,"F.M. Kirby Foundation",22375,"Oldfields School (Glencoe MD)",25000,,2012,,
104539,159712,22281,"F.M. Kirby Foundation",22578,"OneGift (Morristown NJ)",20000,,2012,,
104540,159713,22281,"F.M. Kirby Foundation",22376,"Orange Congregations in Mission",25000,,2012,,
104541,159714,22281,"F.M. Kirby Foundation",22522,"P.G. Chambers School (Cedar Knolls NJ)",65000,,2012,,
104542,159715,22281,"F.M. Kirby Foundation",881,"Pacific Legal Foundation",35000,,2012,,
104543,159716,22281,"F.M. Kirby Foundation",22377,"Paper Mill Playhouse (Millburn NJ)",85000,,2012,,
104544,159717,22281,"F.M. Kirby Foundation",18592,"Partnership in Philanthropy",5000,,2012,,
104545,159718,22281,"F.M. Kirby Foundation",1058,"Philanthropy Roundtable",27500,,2012,,
104546,159719,22281,"F.M. Kirby Foundation",18595,"Plaid House",22500,,2012,,
104547,159720,22281,"F.M. Kirby Foundation",22380,"Planned Parenthood of Central and Greater Northern New Jersey",350000,,2012,,
104548,159721,22281,"F.M. Kirby Foundation",22383,"Playwrights Theatre of New Jersey",25000,,2012,,
104549,159722,22281,"F.M. Kirby Foundation",12932,"Population Action International",80000,,2012,,
104550,159723,22281,"F.M. Kirby Foundation",16917,"Population Council",100000,,2012,,
104551,159724,22281,"F.M. Kirby Foundation",17003,"Preschool Advantage (Morris Plains NJ)",15000,,2012,,
104552,159725,22281,"F.M. Kirby Foundation",22494,"Prevention is Key (Rockaway NJ)",20000,,2012,,
104553,159726,22281,"F.M. Kirby Foundation",3744,ProEnglish,25000,,2012,,
104554,159727,22281,"F.M. Kirby Foundation",22444,"Protect the Adirondacks!",22500,,2012,,
104555,159728,22281,"F.M. Kirby Foundation",22592,"Public Media New Jersey",25000,,2012,,
104556,159729,22281,"F.M. Kirby Foundation",22385,"Rails-to-Trails Conservancy",30000,,2012,,
104557,159730,22281,"F.M. Kirby Foundation",22478,"Re-Creation USA",25000,,2012,,
104558,159731,22281,"F.M. Kirby Foundation",22511,"Regional Plan Association",20000,,2012,,
104559,159732,22281,"F.M. Kirby Foundation",22387,"Roundabout Theatre Company",40000,,2012,,
104560,159733,22281,"F.M. Kirby Foundation",1306,"Rutgers University",25000,,2012,,
104561,159734,22281,"F.M. Kirby Foundation",1035,"Saint Vincent College",25000,,2012,,
104562,159735,22281,"F.M. Kirby Foundation",22390,"Scheie Eye Institute",325000,,2012,,
104563,159736,22281,"F.M. Kirby Foundation",22229,"Sexuality Information and Education Council of the United States",35000,,2012,,
104564,159737,22281,"F.M. Kirby Foundation",18015,"Shakespeare Theatre of New Jersey",360000,,2012,,
104565,159738,22281,"F.M. Kirby Foundation",22593,"Shelburne Museum",15000,,2012,,
104566,159739,22281,"F.M. Kirby Foundation",22393,"Skin Cancer Foundation",30000,,2012,,
104567,159740,22281,"F.M. Kirby Foundation",14854,"Southern Environmental Law Center",25000,,2012,,
104568,159741,22281,"F.M. Kirby Foundation",7794,"St. Hilda's and St. Hugh's School (New York NY)",15000,,2012,,
104569,159742,22281,"F.M. Kirby Foundation",22594,"St. John the Baptist Foundation",25000,,2012,,
104570,159743,22281,"F.M. Kirby Foundation",22396,"St. Paul's Episcopal Church (Brownville NY)",5000,,2012,,
104571,159744,22281,"F.M. Kirby Foundation",21879,"St. Peter's Episcopal Church (Morristown NJ)",70000,,2012,,
104572,159745,22281,"F.M. Kirby Foundation",20729,"St. Philip's Academy (Newark NJ)",40000,,2012,,
104573,159746,22281,"F.M. Kirby Foundation",22553,"St. Stephen's Episcopal Church (Durham NC)",16000,,2012,,
104574,159747,22281,"F.M. Kirby Foundation",22399,"State Theatre Center for the Arts",100000,,2012,,
104575,159748,22281,"F.M. Kirby Foundation",22400,"Stratford Volunteer Fire Company (Stratford NY)",5000,,2012,,
104576,159749,22281,"F.M. Kirby Foundation",22595,"Student U",10000,,2012,,
104577,159750,22281,"F.M. Kirby Foundation",22159,"Summit Speech School (New Providence NJ)",70000,,2012,,
104578,159751,22281,"F.M. Kirby Foundation",22554,"Teach For America - Greater Newark",50000,,2012,,
104579,159752,22281,"F.M. Kirby Foundation",17012,"TeenPride Inc.",20000,,2012,,
104580,159753,22281,"F.M. Kirby Foundation",28237,"Adirondack Council",50000,,2012,,
104581,159754,22281,"F.M. Kirby Foundation",22402,"The Arc (Morris Plains NJ)",30000,,2012,,
104582,159755,22281,"F.M. Kirby Foundation",22403,"The Browning School (New York NY)",15000,,2012,,
104583,159756,22281,"F.M. Kirby Foundation",22561,"The Dwight School Foundation",12000,,2012,,
104584,159757,22281,"F.M. Kirby Foundation",22534,"The Emily K Center",27500,,2012,,
104585,159758,22281,"F.M. Kirby Foundation",22405,"The Foundation for AIDS Research",125000,,2012,,
104586,159759,22281,"F.M. Kirby Foundation",3169,"The Franklin Institute",35000,,2012,,
104587,159760,22281,"F.M. Kirby Foundation",7447,"The Fresh Air Fund",25000,,2012,,
104588,159761,22281,"F.M. Kirby Foundation",7317,"The Frick Collection",17500,,2012,,
104589,159762,22281,"F.M. Kirby Foundation",4261,"The Fuqua School of Business",530000,,2012,,
104590,159763,22281,"F.M. Kirby Foundation",22406,"The Gateway School of New York",15000,,2012,,
104591,159764,22281,"F.M. Kirby Foundation",889,"The Gilder Lehrman Institute of American History",30000,,2012,,
104592,159765,22281,"F.M. Kirby Foundation",29126,"The Heritage Foundation",100000,,2012,,
104593,159766,22281,"F.M. Kirby Foundation",22513,"The Hill Center",65000,,2012,,
104594,159767,22281,"F.M. Kirby Foundation",22506,"The Land Conservancy of New Jersey",25000,,2012,,
104595,159768,22281,"F.M. Kirby Foundation",14692,"The Lawrenceville School",770000,,2012,,
104596,159769,22281,"F.M. Kirby Foundation",22408,"The Masterwork Chorus",10000,,2012,,
104597,159770,22281,"F.M. Kirby Foundation",1782,"The Metropolitan Museum of Art",15000,,2012,,
104598,159771,22281,"F.M. Kirby Foundation",7321,"The Morgan Library &amp; Museum",7500,,2012,,
104599,159772,22281,"F.M. Kirby Foundation",22409,"The Nature Conservancy - New Jersey",120000,,2012,,
104600,159773,22281,"F.M. Kirby Foundation",17014,"The Newark Museum",75000,,2012,,
104601,159774,22281,"F.M. Kirby Foundation",3575,"The Partnership at Drugfree.org",42500,,2012,,
104602,159775,22281,"F.M. Kirby Foundation",18035,"The Peck School",25000,,2012,,
104603,159776,22281,"F.M. Kirby Foundation",4632,"The Rockefeller University",175000,,2012,,
104604,159777,22281,"F.M. Kirby Foundation",22570,"The Salvation Army Morristown Corps",42500,,2012,,
104605,159778,22281,"F.M. Kirby Foundation",16985,"The Seeing Eye",230000,,2012,,
104606,159779,22281,"F.M. Kirby Foundation",7375,"The Trust For Public Land",85000,,2012,,
104607,159780,22281,"F.M. Kirby Foundation",22481,"Triangle Land Conservancy",25000,,2012,,
104608,159781,22281,"F.M. Kirby Foundation",3944,"Trout Unlimited",35000,,2012,,
104609,159782,22281,"F.M. Kirby Foundation",12138,"Union College",10000,,2012,,
104610,159783,22281,"F.M. Kirby Foundation",3785,"United Negro College Fund",10000,,2012,,
104611,159784,22281,"F.M. Kirby Foundation",11849,"United Network for Organ Sharing",100000,,2012,,
104612,159785,22281,"F.M. Kirby Foundation",22164,"United Way of Northern New Jersey",350000,,2012,,
104613,159786,22281,"F.M. Kirby Foundation",22453,"United Way of the Greater Triangle",175000,,2012,,
104614,159787,22281,"F.M. Kirby Foundation",22417,"United Way of Wyoming Valley",100000,,2012,,
104615,159788,22281,"F.M. Kirby Foundation",3328,"University of North Carolina at Chapel Hill",15000,,2012,,
104616,159789,22281,"F.M. Kirby Foundation",22418,"University of North Carolina Center for Public Television",17500,,2012,,
104617,159790,22281,"F.M. Kirby Foundation",19991,"Visiting Nurse Association of Northern New Jersey",50000,,2012,,
104618,159791,22281,"F.M. Kirby Foundation",22555,"Volunteer Management Centers",7500,,2012,,
104619,159792,22281,"F.M. Kirby Foundation",3659,"Wake Forest University",25000,,2012,,
